"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"Capital Region","2020","01",552800,529700,23100,4.2                                                                                                                                                                                  
"Capital Region","2019","00",544100,523800,20200,3.7                                                                                                                                                                                  
"Capital Region","2019","01",541900,518200,23800,4.4                                                                                                                                                                                  
"Capital Region","2019","02",541600,518200,23500,4.3                                                                                                                                                                                  
"Capital Region","2019","03",540300,518600,21700,4                                                                                                                                                                                    
"Capital Region","2019","04",537300,518900,18400,3.4                                                                                                                                                                                  
"Capital Region","2019","05",538600,520700,17900,3.3                                                                                                                                                                                  
"Capital Region","2019","06",548200,529000,19300,3.5                                                                                                                                                                                  
"Capital Region","2019","07",549700,529200,20500,3.7                                                                                                                                                                                  
"Capital Region","2019","08",548000,527600,20400,3.7                                                                                                                                                                                  
"Capital Region","2019","09",544800,526200,18600,3.4                                                                                                                                                                                  
"Capital Region","2019","10",547200,528400,18800,3.4                                                                                                                                                                                  
"Capital Region","2019","11",546200,527300,19000,3.5                                                                                                                                                                                  
"Capital Region","2019","12",544800,523900,20900,3.8                                                                                                                                                                                  
"Capital Region","2018","00",547500,526600,20900,3.8                                                                                                                                                                                  
"Capital Region","2018","01",536500,509500,27000,5                                                                                                                                                                                    
"Capital Region","2018","02",542200,514900,27300,5                                                                                                                                                                                    
"Capital Region","2018","03",541200,517000,24200,4.5                                                                                                                                                                                  
"Capital Region","2018","04",540700,519700,21000,3.9                                                                                                                                                                                  
"Capital Region","2018","05",544300,525700,18600,3.4                                                                                                                                                                                  
"Capital Region","2018","06",557100,536300,20900,3.7                                                                                                                                                                                  
"Capital Region","2018","07",557100,537100,20000,3.6                                                                                                                                                                                  
"Capital Region","2018","08",550400,531500,18900,3.4                                                                                                                                                                                  
"Capital Region","2018","09",546500,528500,17900,3.3                                                                                                                                                                                  
"Capital Region","2018","10",552800,535400,17400,3.1                                                                                                                                                                                  
"Capital Region","2018","11",550800,533200,17500,3.2                                                                                                                                                                                  
"Capital Region","2018","12",550600,530900,19700,3.6                                                                                                                                                                                  
"Capital Region","2017","00",544100,520500,23500,4.3                                                                                                                                                                                  
"Capital Region","2017","01",538500,511200,27200,5.1                                                                                                                                                                                  
"Capital Region","2017","02",540500,513400,27100,5                                                                                                                                                                                    
"Capital Region","2017","03",543400,519500,23900,4.4                                                                                                                                                                                  
"Capital Region","2017","04",544400,522300,22200,4.1                                                                                                                                                                                  
"Capital Region","2017","05",543000,520900,22000,4.1                                                                                                                                                                                  
"Capital Region","2017","06",554500,531200,23400,4.2                                                                                                                                                                                  
"Capital Region","2017","07",554100,530200,23900,4.3                                                                                                                                                                                  
"Capital Region","2017","08",550300,526700,23600,4.3                                                                                                                                                                                  
"Capital Region","2017","09",545800,523200,22600,4.1                                                                                                                                                                                  
"Capital Region","2017","10",542800,521500,21400,3.9                                                                                                                                                                                  
"Capital Region","2017","11",537800,515600,22200,4.1                                                                                                                                                                                  
"Capital Region","2017","12",533500,510800,22700,4.3                                                                                                                                                                                  
"Capital Region","2016","00",545000,522200,22800,4.2                                                                                                                                                                                  
"Capital Region","2016","01",544700,519000,25700,4.7                                                                                                                                                                                  
"Capital Region","2016","02",547000,521100,25900,4.7                                                                                                                                                                                  
"Capital Region","2016","03",546600,521900,24600,4.5                                                                                                                                                                                  
"Capital Region","2016","04",543300,521300,22000,4.1                                                                                                                                                                                  
"Capital Region","2016","05",544200,523800,20400,3.7                                                                                                                                                                                  
"Capital Region","2016","06",553100,530900,22200,4                                                                                                                                                                                    
"Capital Region","2016","07",553100,530100,23000,4.2                                                                                                                                                                                  
"Capital Region","2016","08",550000,527600,22400,4.1                                                                                                                                                                                  
"Capital Region","2016","09",541700,519000,22600,4.2                                                                                                                                                                                  
"Capital Region","2016","10",543300,521700,21700,4                                                                                                                                                                                    
"Capital Region","2016","11",537800,516600,21200,3.9                                                                                                                                                                                  
"Capital Region","2016","12",535200,512900,22300,4.2                                                                                                                                                                                  
"Capital Region","2015","00",545600,520800,24700,4.5                                                                                                                                                                                  
"Capital Region","2015","01",541900,512000,29900,5.5                                                                                                                                                                                  
"Capital Region","2015","02",541200,511900,29200,5.4                                                                                                                                                                                  
"Capital Region","2015","03",541200,514600,26600,4.9                                                                                                                                                                                  
"Capital Region","2015","04",543200,518900,24300,4.5                                                                                                                                                                                  
"Capital Region","2015","05",549900,525200,24700,4.5                                                                                                                                                                                  
"Capital Region","2015","06",557700,532400,25300,4.5                                                                                                                                                                                  
"Capital Region","2015","07",554900,529600,25300,4.6                                                                                                                                                                                  
"Capital Region","2015","08",551200,527900,23300,4.2                                                                                                                                                                                  
"Capital Region","2015","09",541000,518800,22200,4.1                                                                                                                                                                                  
"Capital Region","2015","10",544600,523000,21600,4                                                                                                                                                                                    
"Capital Region","2015","11",540300,518500,21900,4                                                                                                                                                                                    
"Capital Region","2015","12",539400,517100,22300,4.1                                                                                                                                                                                  
"Capital Region","2014","00",543000,514700,28300,5.2                                                                                                                                                                                  
"Capital Region","2014","01",542200,507800,34500,6.4                                                                                                                                                                                  
"Capital Region","2014","02",542500,507700,34800,6.4                                                                                                                                                                                  
"Capital Region","2014","03",543300,511100,32200,5.9                                                                                                                                                                                  
"Capital Region","2014","04",539600,512600,26900,5                                                                                                                                                                                    
"Capital Region","2014","05",543900,516900,27000,5                                                                                                                                                                                    
"Capital Region","2014","06",553200,525700,27500,5                                                                                                                                                                                    
"Capital Region","2014","07",551400,522500,28800,5.2                                                                                                                                                                                  
"Capital Region","2014","08",546400,518900,27600,5                                                                                                                                                                                    
"Capital Region","2014","09",538100,512500,25600,4.8                                                                                                                                                                                  
"Capital Region","2014","10",543300,518700,24500,4.5                                                                                                                                                                                  
"Capital Region","2014","11",537600,512400,25200,4.7                                                                                                                                                                                  
"Capital Region","2014","12",533900,509100,24800,4.6                                                                                                                                                                                  
"Capital Region","2013","00",556200,520100,36100,6.5                                                                                                                                                                                  
"Capital Region","2013","01",556000,510400,45600,8.2                                                                                                                                                                                  
"Capital Region","2013","02",555300,512000,43300,7.8                                                                                                                                                                                  
"Capital Region","2013","03",552100,513100,39000,7.1                                                                                                                                                                                  
"Capital Region","2013","04",554500,519100,35400,6.4                                                                                                                                                                                  
"Capital Region","2013","05",560400,525300,35100,6.3                                                                                                                                                                                  
"Capital Region","2013","06",571200,534200,37000,6.5                                                                                                                                                                                  
"Capital Region","2013","07",569500,533100,36400,6.4                                                                                                                                                                                  
"Capital Region","2013","08",564200,529600,34500,6.1                                                                                                                                                                                  
"Capital Region","2013","09",554300,520900,33400,6                                                                                                                                                                                    
"Capital Region","2013","10",548400,516300,32000,5.8                                                                                                                                                                                  
"Capital Region","2013","11",546500,515600,30900,5.7                                                                                                                                                                                  
"Capital Region","2013","12",542300,512000,30300,5.6                                                                                                                                                                                  
"Capital Region","2012","00",556700,514900,41800,7.5                                                                                                                                                                                  
"Capital Region","2012","01",548200,502300,45900,8.4                                                                                                                                                                                  
"Capital Region","2012","02",551100,504400,46700,8.5                                                                                                                                                                                  
"Capital Region","2012","03",549500,505300,44200,8                                                                                                                                                                                    
"Capital Region","2012","04",551700,511100,40700,7.4                                                                                                                                                                                  
"Capital Region","2012","05",558200,516700,41500,7.4                                                                                                                                                                                  
"Capital Region","2012","06",567600,524500,43100,7.6                                                                                                                                                                                  
"Capital Region","2012","07",565900,522400,43500,7.7                                                                                                                                                                                  
"Capital Region","2012","08",561900,520700,41200,7.3                                                                                                                                                                                  
"Capital Region","2012","09",556400,516900,39500,7.1                                                                                                                                                                                  
"Capital Region","2012","10",560700,522000,38700,6.9                                                                                                                                                                                  
"Capital Region","2012","11",556800,519700,37100,6.7                                                                                                                                                                                  
"Capital Region","2012","12",552700,512900,39800,7.2                                                                                                                                                                                  
"Capital Region","2011","00",550200,509800,40400,7.3                                                                                                                                                                                  
"Capital Region","2011","01",548700,503400,45400,8.3                                                                                                                                                                                  
"Capital Region","2011","02",548800,504700,44200,8                                                                                                                                                                                    
"Capital Region","2011","03",548100,506400,41700,7.6                                                                                                                                                                                  
"Capital Region","2011","04",547800,509200,38500,7                                                                                                                                                                                    
"Capital Region","2011","05",549500,511400,38100,6.9                                                                                                                                                                                  
"Capital Region","2011","06",555600,515500,40100,7.2                                                                                                                                                                                  
"Capital Region","2011","07",556400,516200,40200,7.2                                                                                                                                                                                  
"Capital Region","2011","08",555900,517000,38900,7                                                                                                                                                                                    
"Capital Region","2011","09",547500,508000,39500,7.2                                                                                                                                                                                  
"Capital Region","2011","10",549400,510900,38500,7                                                                                                                                                                                    
"Capital Region","2011","11",548100,509200,38900,7.1                                                                                                                                                                                  
"Capital Region","2011","12",546200,505600,40600,7.4                                                                                                                                                                                  
"Capital Region","2010","00",561800,519900,41900,7.5                                                                                                                                                                                  
"Capital Region","2010","01",559000,512000,47000,8.4                                                                                                                                                                                  
"Capital Region","2010","02",560300,513600,46700,8.3                                                                                                                                                                                  
"Capital Region","2010","03",559400,515000,44400,7.9                                                                                                                                                                                  
"Capital Region","2010","04",565800,524900,40900,7.2                                                                                                                                                                                  
"Capital Region","2010","05",565700,526000,39800,7                                                                                                                                                                                    
"Capital Region","2010","06",573200,532200,41000,7.1                                                                                                                                                                                  
"Capital Region","2010","07",573400,531100,42300,7.4                                                                                                                                                                                  
"Capital Region","2010","08",570900,530200,40600,7.1                                                                                                                                                                                  
"Capital Region","2010","09",559300,519700,39500,7.1                                                                                                                                                                                  
"Capital Region","2010","10",553900,515000,38900,7                                                                                                                                                                                    
"Capital Region","2010","11",552300,511200,41100,7.4                                                                                                                                                                                  
"Capital Region","2010","12",548500,507900,40600,7.4                                                                                                                                                                                  
"Capital Region","2009","00",566100,526200,39900,7                                                                                                                                                                                    
"Capital Region","2009","01",565200,525200,40000,7.1                                                                                                                                                                                  
"Capital Region","2009","02",566800,524600,42300,7.5                                                                                                                                                                                  
"Capital Region","2009","03",564300,522900,41400,7.3                                                                                                                                                                                  
"Capital Region","2009","04",568200,529800,38400,6.8                                                                                                                                                                                  
"Capital Region","2009","05",569100,530400,38800,6.8                                                                                                                                                                                  
"Capital Region","2009","06",580600,539900,40700,7                                                                                                                                                                                    
"Capital Region","2009","07",579200,539200,40000,6.9                                                                                                                                                                                  
"Capital Region","2009","08",575000,536100,38900,6.8                                                                                                                                                                                  
"Capital Region","2009","09",560900,521400,39500,7                                                                                                                                                                                    
"Capital Region","2009","10",558400,519400,39000,7                                                                                                                                                                                    
"Capital Region","2009","11",556800,517700,39200,7                                                                                                                                                                                    
"Capital Region","2009","12",549200,508400,40800,7.4                                                                                                                                                                                  
"Capital Region","2008","00",569600,541200,28400,5                                                                                                                                                                                    
"Capital Region","2008","01",561500,532500,29100,5.2                                                                                                                                                                                  
"Capital Region","2008","02",560700,531400,29200,5.2                                                                                                                                                                                  
"Capital Region","2008","03",560600,532200,28400,5.1                                                                                                                                                                                  
"Capital Region","2008","04",563400,538300,25100,4.5                                                                                                                                                                                  
"Capital Region","2008","05",569300,542700,26600,4.7                                                                                                                                                                                  
"Capital Region","2008","06",582200,554600,27600,4.7                                                                                                                                                                                  
"Capital Region","2008","07",584300,556000,28400,4.9                                                                                                                                                                                  
"Capital Region","2008","08",580700,552900,27900,4.8                                                                                                                                                                                  
"Capital Region","2008","09",569100,540900,28200,5                                                                                                                                                                                    
"Capital Region","2008","10",570800,543000,27900,4.9                                                                                                                                                                                  
"Capital Region","2008","11",568100,538300,29800,5.2                                                                                                                                                                                  
"Capital Region","2008","12",564500,531500,33000,5.9                                                                                                                                                                                  
"Capital Region","2007","00",561400,538900,22500,4                                                                                                                                                                                    
"Capital Region","2007","01",558500,533000,25400,4.6                                                                                                                                                                                  
"Capital Region","2007","02",557900,532600,25200,4.5                                                                                                                                                                                  
"Capital Region","2007","03",557000,534300,22700,4.1                                                                                                                                                                                  
"Capital Region","2007","04",552900,531700,21200,3.8                                                                                                                                                                                  
"Capital Region","2007","05",557300,536900,20400,3.7                                                                                                                                                                                  
"Capital Region","2007","06",571500,549600,21900,3.8                                                                                                                                                                                  
"Capital Region","2007","07",573900,550900,23100,4                                                                                                                                                                                    
"Capital Region","2007","08",568400,547200,21200,3.7                                                                                                                                                                                  
"Capital Region","2007","09",559700,538000,21700,3.9                                                                                                                                                                                  
"Capital Region","2007","10",559200,538200,21000,3.8                                                                                                                                                                                  
"Capital Region","2007","11",561600,539400,22100,3.9                                                                                                                                                                                  
"Capital Region","2007","12",559400,535000,24400,4.4                                                                                                                                                                                  
"Capital Region","2006","00",565600,543600,22100,3.9                                                                                                                                                                                  
"Capital Region","2006","01",559400,534400,24900,4.5                                                                                                                                                                                  
"Capital Region","2006","02",562200,536000,26200,4.7                                                                                                                                                                                  
"Capital Region","2006","03",562100,537400,24700,4.4                                                                                                                                                                                  
"Capital Region","2006","04",561500,539600,21900,3.9                                                                                                                                                                                  
"Capital Region","2006","05",564000,542400,21600,3.8                                                                                                                                                                                  
"Capital Region","2006","06",576500,554300,22200,3.9                                                                                                                                                                                  
"Capital Region","2006","07",579100,556100,23000,4                                                                                                                                                                                    
"Capital Region","2006","08",575400,554300,21100,3.7                                                                                                                                                                                  
"Capital Region","2006","09",560400,539600,20700,3.7                                                                                                                                                                                  
"Capital Region","2006","10",563800,545300,18500,3.3                                                                                                                                                                                  
"Capital Region","2006","11",562000,541900,20000,3.6                                                                                                                                                                                  
"Capital Region","2006","12",561300,541500,19700,3.5                                                                                                                                                                                  
"Capital Region","2005","00",561800,539200,22700,4                                                                                                                                                                                    
"Capital Region","2005","01",554500,528100,26400,4.8                                                                                                                                                                                  
"Capital Region","2005","02",553600,527300,26300,4.7                                                                                                                                                                                  
"Capital Region","2005","03",550600,527800,22800,4.1                                                                                                                                                                                  
"Capital Region","2005","04",555000,533400,21600,3.9                                                                                                                                                                                  
"Capital Region","2005","05",558900,537200,21600,3.9                                                                                                                                                                                  
"Capital Region","2005","06",571000,548200,22800,4                                                                                                                                                                                    
"Capital Region","2005","07",577800,554800,23000,4                                                                                                                                                                                    
"Capital Region","2005","08",576000,555300,20700,3.6                                                                                                                                                                                  
"Capital Region","2005","09",561900,539500,22400,4                                                                                                                                                                                    
